date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price
1/1/2015,UKR,UAH,Ukraine,19,15.822,1.200859563
1/1/2015,URY,UYU,Uruguay,113,24.425,4.626407369
1/1/2015,USA,USD,United States,4.79,1,4.79
1/1/2015,VNM,VND,Vietnam,60000,21380,2.806361085
1/1/2015,ZAF,ZAR,South Africa,25.5,11.47875,2.221496243
7/1/2015,ARE,AED,UAE,13,3.67295,3.539389319
7/1/2015,ARG,ARS,Argentina,28,9.135,3.0651341
7/1/2015,AUS,AUD,Australia,5.3,1.35126005,3.922265
7/1/2015,BRA,BRL,Brazil,13.5,3.15235,4.28251939
7/1/2015,CAN,CAD,Canada,5.85,1.2897,4.53593859
7/1/2015,CHE,CHF,Switzerland,6.5,0.9528,6.821998321
7/1/2015,CHL,CLP,Chile,2100,642.45,3.268736867
7/1/2015,CHN,CNY,China,17,6.2092,2.737872834
7/1/2015,COL,COP,Colombia,7900,2708.9,2.916312895
7/1/2015,CRI,CRC,Costa Rica,2150,533.3,4.031501969
7/1/2015,CZE,CZK,Czech Republic,70,24.70225,2.833749962
7/1/2015,DNK,DKK,Denmark,34.59,6.81105,5.078512124
7/1/2015,EGY,EGP,Egypt,16.93,7.83005,2.162182872
7/1/2015,EUZ,EUR,Euro area,3.7,0.912700224,4.053904998
7/1/2015,GBR,GBP,Britain,2.89,0.640450877,4.512446003
7/1/2015,HKG,HKD,Hong Kong,19.2,7.7508,2.477163648
7/1/2015,HUN,HUF,Hungary,900,282.8778,3.18158583
7/1/2015,IDN,IDR,Indonesia,30500,13344.5,2.285585822
7/1/2015,IND,INR,India,116.25,63.43,1.832728993
7/1/2015,ISR,ILS,Israel,17.5,3.77835,4.631651382
7/1/2015,JPN,JPY,Japan,370,123.935,2.985435914
7/1/2015,KOR,KRW,South Korea,4300,1143.5,3.760384784
7/1/2015,LKA,LKR,Sri Lanka,350,133.85,2.614867389
7/1/2015,MEX,MXN,Mexico,49,15.73975,3.113137121
7/1/2015,MYS,MYR,Malaysia,7.65,3.8065,2.009720215
7/1/2015,NOR,NOK,Norway,46,8.14255,5.649335896
7/1/2015,NZL,NZD,New Zealand,5.9,1.509092281,3.909635
7/1/2015,PAK,PKR,Pakistan,350,101.7,3.441494592
7/1/2015,PER,PEN,Peru,10,3.1835,3.141196796
7/1/2015,PHL,PHP,Philippines,163,45.2125,3.605197678
7/1/2015,POL,PLN,Poland,9.6,3.7736,2.543989824
7/1/2015,RUS,RUB,Russia,107,56.815,1.883305465
7/1/2015,SAU,SAR,Saudi Arabia,12,3.75055,3.199530735
7/1/2015,SGP,SGD,Singapore,4.7,1.3664,3.43969555
7/1/2015,SWE,SEK,Sweden,43.7,8.52265,5.127513156
7/1/2015,THA,THB,Thailand,108,34.0875,3.168316832
7/1/2015,TUR,TRY,Turkey,10.25,2.6457,3.874210984
7/1/2015,TWN,TWD,Taiwan,79,31.02,2.546744036
7/1/2015,UKR,UAH,Ukraine,34,21.95,1.548974943
7/1/2015,URY,UYU,Uruguay,113,27.345,4.13238252
7/1/2015,USA,USD,United States,4.79,1,4.79
7/1/2015,VNM,VND,Vietnam,60000,21810,2.751031637
7/1/2015,ZAF,ZAR,South Africa,26,12.41455,2.094316749
1/1/2016,ARE,AED,UAE,13,3.6731,3.53924478
1/1/2016,ARG,ARS,Argentina,33,13.80925,2.389702554
1/1/2016,AUS,AUD,Australia,5.3,1.415728746,3.743655001
1/1/2016,BRA,BRL,Brazil,13.5,4.0248,3.354203936
1/1/2016,CAN,CAD,Canada,5.84,1.4092,4.144195288
1/1/2016,CHE,CHF,Switzerland,6.5,1.0088,6.443298969
1/1/2016,CHL,CLP,Chile,2100,715.215,2.93618003
1/1/2016,CHN,CNY,China,17.6,6.5582,2.6836632
1/1/2016,COL,COP,Colombia,7900,3253.9,2.427855804
1/1/2016,CRI,CRC,Costa Rica,2150,535.25,4.016814573
1/1/2016,CZE,CZK,Czech Republic,75,25.1442,2.982795237
1/1/2016,DNK,DKK,Denmark,30,6.9405,4.322455155
1/1/2016,EGY,EGP,Egypt,16.93,7.83005,2.162182872
1/1/2016,EUZ,EUR,Euro area,3.72,0.930232558,3.999000001
1/1/2016,GBR,GBP,Britain,2.89,0.684532977,4.221856502
1/1/2016,HKG,HKD,Hong Kong,19.2,7.75235,2.476668365
1/1/2016,HUN,HUF,Hungary,900,292.67905,3.075040731
1/1/2016,IDN,IDR,Indonesia,30500,13947.5,2.186771823
1/1/2016,IND,INR,India,127,66.8025,1.901126455
1/1/2016,ISR,ILS,Israel,16.9,3.94105,4.288197308
1/1/2016,JPN,JPY,Japan,370,118.645,3.118546926
1/1/2016,KOR,KRW,South Korea,4300,1197.75,3.590064705
1/1/2016,LKA,LKR,Sri Lanka,350,144.05,2.429711906
1/1/2016,MEX,MXN,Mexico,49,17.43675,2.810156709
1/1/2016,MYS,MYR,Malaysia,8,4.3925,1.821286283
1/1/2016,NOR,NOK,Norway,46.8,8.97465,5.214688038
1/1/2016,NZL,NZD,New Zealand,5.9,1.508068165,3.912289999
1/1/2016,PAK,PKR,Pakistan,300,104.885,2.86027554
1/1/2016,PER,PEN,Peru,10,3.418,2.925687537
1/1/2016,PHL,PHP,Philippines,131,47.0225,2.785900367
1/1/2016,POL,PLN,Poland,9.6,4.0477,2.371717272
1/1/2016,RUS,RUB,Russia,114,74.655,1.527024312
1/1/2016,SAU,SAR,Saudi Arabia,12,3.7543,3.196334869
1/1/2016,SGP,SGD,Singapore,4.7,1.43725,3.270133936
1/1/2016,SWE,SEK,Sweden,45,8.60185,5.231432773
1/1/2016,THA,THB,Thailand,112,36.22,3.092214246
1/1/2016,TUR,TRY,Turkey,10.25,3.0096,3.405768208
1/1/2016,TWN,TWD,Taiwan,69,33.2315,2.076343229
1/1/2016,UKR,UAH,Ukraine,36,23.35,1.541755889
1/1/2016,URY,UYU,Uruguay,113,30.185,3.743581249
1/1/2016,USA,USD,United States,4.93,1,4.93
1/1/2016,VNM,VND,Vietnam,60000,22467.5,2.67052409
1/1/2016,ZAF,ZAR,South Africa,28,15.81375,1.770611019
7/1/2016,ARE,AED,UAE,13,3.6731,3.53924478
7/1/2016,ARG,ARS,Argentina,50,14.935,3.347840643
7/1/2016,AUS,AUD,Australia,5.75,1.335737661,4.3047375
7/1/2016,BRA,BRL,Brazil,15.5,3.24145,4.781810609
7/1/2016,CAN,CAD,Canada,6,1.303,4.60475825
7/1/2016,CHE,CHF,Switzerland,6.5,0.9861,6.591623568
7/1/2016,CHL,CLP,Chile,2300,651.12,3.532374985
7/1/2016,CHN,CNY,China,18.6,6.678,2.785265049
7/1/2016,COL,COP,Colombia,8900,2929,3.03857972
7/1/2016,CRI,CRC,Costa Rica,2250,546.39,4.117937737
7/1/2016,CZE,CZK,Czech Republic,75,24.54655,3.055419193
7/1/2016,DNK,DKK,Denmark,30,6.75715,4.439741607
7/1/2016,EGY,EGP,Egypt,23,8.87995,2.590104674
7/1/2016,EUZ,EUR,Euro area,3.82,0.908306463,4.205628998
7/1/2016,GBR,GBP,Britain,2.99,0.758840492,3.940221999
7/1/2016,HKG,HKD,Hong Kong,19.2,7.7554,2.475694355
7/1/2016,HUN,HUF,Hungary,900,285.6397,3.150822522
7/1/2016,IDN,IDR,Indonesia,31000,13112.5,2.364156339
7/1/2016,IND,INR,India,162,67.2,2.410714286
7/1/2016,ISR,ILS,Israel,16.9,3.85875,4.379656625
7/1/2016,JPN,JPY,Japan,370,106.725,3.466854064
7/1/2016,KOR,KRW,South Korea,4400,1140.95,3.856435427
7/1/2016,LKA,LKR,Sri Lanka,530,146.2,3.625170999
7/1/2016,MEX,MXN,Mexico,44,18.535,2.37388724
7/1/2016,MYS,MYR,Malaysia,8,4.027,1.986590514
7/1/2016,NOR,NOK,Norway,46.8,8.49355,5.510063519
7/1/2016,NZL,NZD,New Zealand,6,1.421363087,4.221300001
7/1/2016,PAK,PKR,Pakistan,375,104.82,3.577561534
7/1/2016,PER,PEN,Peru,10,3.30585,3.024940636
7/1/2016,PHL,PHP,Philippines,133,47.115,2.822880187
7/1/2016,POL,PLN,Poland,9.6,3.96565,2.420788521
7/1/2016,RUS,RUB,Russia,130,63.40755,2.050229034
7/1/2016,SAU,SAR,Saudi Arabia,12,3.7505,3.19957339
7/1/2016,SGP,SGD,Singapore,5.45,1.3577,4.014141563
7/1/2016,SWE,SEK,Sweden,44.94,8.59485,5.228712543
7/1/2016,THA,THB,Thailand,119,34.965,3.403403403
7/1/2016,TUR,TRY,Turkey,10.75,3.04305,3.53263995
7/1/2016,TWN,TWD,Taiwan,69,32.029,2.154297668
7/1/2016,UKR,UAH,Ukraine,39,24.8,1.572580645
7/1/2016,URY,UYU,Uruguay,123,30.165,4.077573347
7/1/2016,USA,USD,United States,5.04,1,5.04
7/1/2016,VNM,VND,Vietnam,60000,22300,2.69058296
7/1/2016,ZAF,ZAR,South Africa,30,14.27375,2.101760224
1/1/2017,ARE,AED,UAE,13,3.673,3.539341138
1/1/2017,ARG,ARS,Argentina,55,15.8575,3.468390352
1/1/2017,AUS,AUD,Australia,5.8,1.356668023,4.275180001
1/1/2017,BRA,BRL,Brazil,16.5,3.22395,5.117945378
